Anaerobic respiration occurs in {{c1::absence of oxygen.}}	
When no oxygen is present only {{c1::glycolysis}} can take place. (respiration)	
Krebs and link can not take place in anerobic respiration becase NAD and FAD {{c1::cannot be oxidised again.}}	
{{c1::2}}ATP molecules are produced by {{c2::glycolysis}}.	
{{c1::2}}ATP molecules are produced by {{c2::the krebs cycle}} as a result of producing {{c3::3}}NADH and {{c4::1}}FADH2 molecules.	
The electron transport chain prodcues {{c1::32}}ATP molecules.	
The {{c3::link reaction}} produces {{c1::no}} ATP but 1{{c2::NADH}}	
In the {{c3::electron transport chain}} {{c1::1}}NADH={{c2::3}}ATP	
In the {{c3::elctron transport chain}} {{c1::1}}FADH2 = {{c2::2}}ATP	
{{c3::Glyclysis}} produces net {{c1::2}}ATP from {{c2::4}}ATP	
Total ATP from Respiration is {{c1::38}} per glucose	
{{c1::Chemical energy}} is contained within food substances.	
{{c1::Energy}} can be converted from one form to another.	
Green plants can convert {{c1::light}} into {{c2::chemcial}} energy.	
{{c1::All}} living organisms are able to convert {{c2::chemical}} energy to other energy forms.	
<img src="http://upload.wikimedia.org/wikipedia/commons/1/10/ATP_chemical_structure.png" />	ATP
<div>{{c1::Energy}} is required to combine {{c2::ADP and phosphate}} to form ATP and this is an {{c3::endergonic}}&nbsp;reaction</div>	
<div>{{c1::30.6 KJ of Energy}} is released when ATP is broken down to {{c2::ADP and phosphate}} and this is an</div><div>{{c3::exergonic}} reaction.</div>	
<div>Energy release from ATP is linked to energy-requiring reactions e.g. {{c1::active transport}},&nbsp;{{c2::</div><div>muscle&nbsp;</div><div>contraction</div><div>}}, {{c3::synthesis of organic chemicals}}</div>	
{{c2::ATP}} is an energy {{c1::carrier}} in cells.	
ATP is sometimes referred to as the {{c1::'Universal Energy Currency'}}	
{{c1::ATP}} is said to be {{c2::'universal'}} because nearly all {{c3::metabolic reactions}} use it as the {{c4::energy source}}	
Define Proton	A stable subatomic particle occurring in all atomic nuclei, with a positive electric charge equal in magnitude to that of an electron
Define electron	A stable subatomic particle with a charge of negative electricity, found in all atoms and acting as the primary carrier of electricity
{{c4::A concentration gradient}} is produced across the {{c1::internal}} membranes of {{c2::mitochondria}} and {{c3::chloroplasts}}.	
<div>In mitochondria the {{c1::internal membrane}} separates the {{c2::intermembrane space}} from the&nbsp;{{c3::matrix}}.</div>	
<div>In {{c1::chloroplasts}} the thylakoid membrane separates the t{{c2::hylakoid component}}&nbsp;from the {{c3::stroma}}</div>	
The {{c2::synthesis of ATP}} takes place by means of a {{c3::flow of protons}} across the mitochondrial {{c1::internal}} membrane.	
The {{c2::synthesis of ATP}} takes place by means of a {{c3::flow of protons}} across the {{c4::thylakoid membrane}} in plants.	
ATP moves down a {{c1::concentration}} gradient through the enzyme {{c2::ATP synthetase.}}	
The {{c2::process that produces ATP}} is c{{c1::hemiosmosi}}s	
<div>To maintain the {{c1::concentration of protons}} in the {{c2::inter membrane space}}, {{c3::proton pumps}} are&nbsp;needed which are fuelled by {{c4::electron energy}}.</div>	
Draw chemiosmosis &amp; ATP synthesis. (In animals)	<img src="http://fhs-bio-wiki.pbworks.com/f/1259628320/electron_transport_chain.jpg" />
Draw chemiosmosis &amp; ATP synthesis. (In plants)	<img src="http://chemwiki.ucdavis.edu/@api/deki/files/7285/=Thylakoid_membrane.png" />
<div>{{c1::Respiration}} is a series of {{c2::enzyme-catalysed}} reactions which release {{c3::chemical}} energy from {{c4::organic molecules}} in order to {{c5::synthesise ATP.}}</div>	
<div>The four main stages of the breakdown of a {{c1::glucose molecule}} to {{c2::carbon dioxide and water}} are:&nbsp;</div><div>{{c3::glycolysis;}}</div><div>{{c4::link reaction;}}</div><div>{{c5::Krebs cycle;}}</div><div>{{c6::electron transport chain.}}</div>	
{{c1::Glycolysis}} is the {{c2::phosphorylation}} of glucose.	
Glycolysis involves&nbsp;the phosphorylation of glucose into {{c1::6C hexose phosphate}} which is then split into two {{c2::3C triose phosphate}} molecules and the {{c3::oxidation}} of each of these to {{c4::3C}}&nbsp;{{c5::pyruvate}} with a {{c6::small}} yield of {{c7::ATP and reduced NAD}}	
{{c1::Glycolysis}} takes place in the {{c2::cytoplasm}} and does not require {{c3::oxygen}}.	
The {{c1::link reaction}} involves the conversion of {{c2::pyruvate}} to {{c3::acetate}}.	
Pyruvate is converted to {{c1::acetate}} through:<div>{{c2::the loss of carbon dioxide;}}<div>{{c3::the removal of hydrogen through the reduction of NAD;}}</div><div>{{c4::acetyl group combining with coA;}}</div></div>	
The {{c1::link reaction}} takes place in the {{c2::matrix of the mitochondrion.}}	
{{c1::Acetyl CoA}} enters {{c2::the Krebs Cycle.&nbsp;}}	
<div>{{c1::co-enzyme A}} is regenerated and the&nbsp;</div><div>{{c2::acetate fragment}} is picked up by a {{c3::4}}C acid, to produce a {{c4::6}}C acid.</div>	
The Krebs cycle is a series of {{c1::decarboxylations}} and {{c2::dehydrogenations.}}	
{{c1::Dehydrogenation}} is the {{c2::removal of hydrogen.}}	
{{c1::Decarboxylation}} is the {{c2::removal of carbon dioxide, a carboxyl group.}}	
In the {{c1::Krebs Cycle}} the {{c2::acetate}} fragment from {{c3::glucose}} is completely broken down.	
<div>The function of the {{c1::Krebs cycle}} is a means of {{c2::liberating energy}} from {{c3::carbon bonds}} to</div><div>{{c4::provide ATP}} and reduced {{c5::NAD and FAD}}.</div>	
The {{c1::Krebs cycle}} releases {{c2::carbon dioxide.}}	
{{c1::Reduced NAD and FAD}} deliver {{c2::hydrogen}} to the e{{c3::lectron transport chain.}}	
The {{c1::electron transport system}} is located in the {{c2::inner mitochondrial membrane.}}	
Define Aerobic Respiration	A set of the metabolic reactions requiring oxygen and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP)
Define anaerboic respiration	A set of the metabolic reactions that takes place when there is no supply of oxygen that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP)
Oxygen {{c1::is the final electron acceptor.}}	
{{c2::Oxygen}} combines with {{c1::protons and electrons}} to form {{c3::water}}.	
When no oxygen is present&nbsp;the reduced NAD (and FAD) cannot be {{c1::reoxidised}} and therefore made<div>{{c2::available to pick up more hydrogen}}</div>	
<div>Under {{c1::anaerobic}} conditions the li{{c2::nk reaction}} and the&nbsp;{{c3::Krebs cycle}} cannot take place.</div>	
Under {{c1::anaerobic}} conditions {{c2::glycolysis}} {{c3::can}} take place.	
{{c1::Anaerobic respiration}} produces a very {{c2::small yield of ATP}}.	
Under {{c1::anaerobic}} conditions in {{c2::plants}} {{c3::hydrogen is given to pyruvate}} by {{c4::NADH}} to {{c5::form ethanol and carbon dioxide.}}	
Under {{c1::anaerobic}} conditions in {{c2::animals}} {{c3::NADH transfers hydrogen}} to pyruvate to form {{c4::lactate}}.	
<div>Not all the energy of the {{c1::glucose}} molecule is captured in {{c2::ATP}} and there is a loss of</div><div>energy as {{c3::heat}} energy.</div>	
Under certain circumstances {{c1::fats and proteins}} may be used as respiratory substrates	
Glycerol can be used as a alternative respiratory substrate, what is it converted to?	a 3-carbon sugar
Glycerol can be used as a alternative respiratory substrate, where does it enter the respiratory pathway?	It enters the Krebs cycle via triose phosphate.
Fatty acid chains can be used as a alternative respiratory substrates, what are they converted to?	2-carbon fragments
Fatty acid chains can be used as a alternative respiratory substrates, where do they entery the pathway?	As acetyl co-enzyme A.
Proteins can be used as a alternative respiratory substrates, what are they converted to?	Organic acids which can be fed into the Krebs cycle.
Proteins can be used as a alternative respiratory substrates, how are the broken down?	By splitting it into its constituent amino acids which are deanimated (removal of NH2)
The main site of {{c1::photosynthesis}} in the leaf is {{c2::palisade tissue}}	
Define photosynthesis.	The process by which green plants and some other organisms use sunlight to synthesize foods from carbon dioxide and water.
<div>The main photosynthetic pigments found in plants are {{c1::chlorophyll a and b}}, {{c2::carotene}} and</div><div>{{c3::xanthophyll}}</div>	
{{c1::Photosynthetic pigments}} {{c2::absorb light energy.}}	
{{c1::Chromatography}} is used in the {{c2::seperation of leaf pigments.}}	
