A {{c3::scalar}} quantity has a {{c1::size}}, but no {{c2::specified direction}}.	
A {{c1::vector}} quantity has {{c2::both direction and magnitude}}.	
To resolve a diagonal force into its {{c2::vertical}} component use the formula {{c1::Fsin(angle)}}	
To resolve a diagonal force into its {{c2::horizontal}} component use the formula {{c1::Fcos(theta)}}	
<div>When the {{c1::resultant force}} and {{c2::resultant turning moment}} that are&nbsp;acting on a body are {{c3::zero}} the body is {{c4::in equilibrium.}}</div>	
A body is in {{c1::equilibrium}} if the {{c2::3}} co-planar forces acting on it {{c3::meet at a point}}	
<div>If a body is in {{c2::equilibrium}} due to 3 co-planar forces acting on it, then the forces can</div><div>be represented in size and direction by {{c1::the sides of a triangle.}}</div>	
<div>The {{c1::moment or torque}} of a force is the size of {{c2::force x perpendicular distance}}&nbsp;between line of action of force and pivot.</div>	
The units for {{c1::torque/moments}} are {{c2::Nm}}	Newton meters
A couple is a pair of parallel forces which are equal and opposite to one another.	
<div>The centre of {{c1::mass/gravity}} of a body is the point through which the weight force acts on the body as a result of gravity.</div>	
{{c2::Displacement}} is a {{c3::vector}} and is equal to {{c1::the distance travelled in a given direction.}}	
{{c1::Velocity}} is the {{c2::instantaneous gradient}} of the {{c3::displacement vs time graph}}	
{{c4::Acceleration}} is the {{c2::gradient}} of the {{c3::velocity - time}} graph or the {{c1::second derivative of the displacement time graph.}}	
Velocity is a {{c1::vector}} quantity.	
Acceration is measured in {{c1::metres per second.}}	
The |{{c3::displacement}}| can be determined from the total {{c1::area under}} the {{c2::velocity - time graph.}}	
{{c1::v}} = {{c2::u + at}}	
{{c1::s}} = ut + {{c2::1/2 at^2}}	
{{c2::s}} = 1/2{{c1::(u+v)t}}	
{{c2::v^2}} = {{c1::u^2 + 2as}}	
To determine projectile motion use the velocity as {{c1::vertical and horizontal components.}}	
Newtons {{c1::first law}} states that {{c2::a body continues in a state of either rest or constant velocity unless acted on by a resultant force.}}	
Newton's {{c2::second}} law states that {{c1::F = ma}}	
Newtons {{c1::third}} law states that {{c2::when an body exterts a force an equal and opposite force is exerted on that body.}}	
{{c1::Work done}} = {{c2::force * displacement}}	
{{c2::W}} = {{c1::Fs cosq}}	s = displacement
{{c3::Power}} = {{c2::work done}} / {{c1::time taken}}	
{{c2::Power}} is measured in {{c1::Watts}}	
{{c3::Power}} = {{c2::Force}} * {{c1::velocity}}	
The {{c1::total energy}} in a system {{c2::remains constant}} always.	
{{c1::Kinetic energy}} = {{c2::1/2 * mv^2}}	
{{c1::Gravitational potential energy}} = {{c2::mgh}}	
{{c2::Efficiency}} = {{c1::useful output power / total input power}}	
{{c2::Density}} = {{c1::Mass / Volume}}	
{{c1::Hooke's law}} - {{c2::the force extending a material is proportional to the extension produced.}}	
An {{c1::elastic material}} is one which {{c2::returns to its original shape after the applied force is removed.}}	
If a material is stretched beyond its {{c1::elastic limit}} it will {{c2::not return to its original length.}}	
An {{c3::inelastic}} material is one which does {{c2::not return to its original shape}} after {{c1::the applied force is removed.}}	
If a material is forced {{c2::beyond its elastic limit}} {{c1::plastic flow}} may occur.	
